index,Unnamed: 0,segment_id,start_time_seconds,end_time_seconds,label,duration_x,clip_id,conjunto,filename,duration_y
39001,105965,lKs05DCaO4A_17000,0.0,9.517,/m/012f08,9.517,0x1bb90b09051a146c,entrenamiento,0x1bb90b09051a146c,9.5171875
38988,105911,Ij1O4e0iXbA_310000,2.804,10.0,/m/012f08,7.196,0x51f5c20b3f176146,entrenamiento,0x51f5c20b3f176146,9.9735
39133,106384,tDed_UgDi88_0,8.581,10.0,/m/012f08,1.4190000000000005,0x287748621712af5e,entrenamiento,0x287748621712af5e,1.4268125
39129,106377,e4b2GZcj4Eg_10000,0.0,10.0,/m/012f08,10.0,0x1397c730f836506c,entrenamiento,0x1397c730f836506c,10.015625
39121,106339,E4qQrrpN30Y_70000,2.272,10.0,/m/012f08,7.728,-0xf6afbf37f5a1b82,entrenamiento,-0xf6afbf37f5a1b82,9.9735
39419,107412,4prBBcSJfTk_0,0.0,10.0,/m/012f08,10.0,0xe34edb944f2345c,entrenamiento,0xe34edb944f2345c,9.9935
39117,106331,0fq9ybnIPzs_30000,0.0,10.0,/m/012f08,10.0,0x3600f783fae6bb61,entrenamiento,0x3600f783fae6bb61,10.008
39461,107556,dHXffjaLT74_0,0.0,10.0,/m/012f08,10.0,0x532206461a6d0425,entrenamiento,0x532206461a6d0425,10.0078125
39179,106534,GgJReW0cltA_0,0.0,10.0,/m/012f08,10.0,0x38897ddbf04b51e4,entrenamiento,0x38897ddbf04b51e4,9.9935
38947,105796,uYqlVTlSgbM_40000,1.211,10.0,/m/012f08,8.789,-0x21aa43901c002e7,entrenamiento,-0x21aa43901c002e7,9.9735
39065,106176,KXXzfP61-Ac_0,0.021,5.422,/m/012f08,5.401,-0x5d5b800bef456752,entrenamiento,-0x5d5b800bef456752,5.4125
39169,106490,CKcoprEh6ZY_30000,1.806,5.773,/m/012f08,3.967,-0x4bced7040aa0e4e0,entrenamiento,-0x4bced7040aa0e4e0,5.7535
38902,105605,AtCS6gTpRLU_10000,0.0,10.0,/m/012f08,10.0,-0x2a2c74d1409108c2,entrenamiento,-0x2a2c74d1409108c2,10.015625
38965,105843,_LXKRqvOspw_90000,0.0,10.0,/m/012f08,10.0,0x37c26aafa3e4d062,entrenamiento,0x37c26aafa3e4d062,10.008375
39320,107032,T3ER524v_Po_30000,0.0,10.0,/m/012f08,10.0,0x4645fdbf1d28eaee,entrenamiento,0x4645fdbf1d28eaee,10.008
39346,107129,hcmlAl92FSU_30000,0.0,10.0,/m/012f08,10.0,0x4651bb742d35efd7,entrenamiento,0x4651bb742d35efd7,10.008
39258,106799,Qe_F2S6IpN4_7000,0.0,9.606,/m/012f08,9.606,-0x7e5b2c2a08a5b288,entrenamiento,-0x7e5b2c2a08a5b288,9.6255
39453,107539,U6SCy1NbxJs_0,0.0,10.0,/m/012f08,10.0,-0x6503c60d6584a2e,entrenamiento,-0x6503c60d6584a2e,9.9935
39075,106212,4OUwnmIHXIw_0,0.031,10.0,/m/012f08,9.969,-0x3696b041a5b7007c,entrenamiento,-0x3696b041a5b7007c,9.9735
38905,105626,lFzhCz2Uzaw_23000,0.0,10.0,/m/012f08,10.0,-0x4e62cc174a2aafae,entrenamiento,-0x4e62cc174a2aafae,10.0188125
38903,105616,WCAG7xQ6-34_0,0.0,10.0,/m/012f08,10.0,-0x65c302e9fadfc6a5,entrenamiento,-0x65c302e9fadfc6a5,10.0078125
