index,Unnamed: 0,segment_id,start_time_seconds,end_time_seconds,label,duration_x,clip_id,conjunto,filename,duration_y
39093,106258,baXl10Zmh_I_130000,0.0,1.69,/m/012f08,1.69,-0x7b6f6d6c63a19fe3,entrenamiento,-0x7b6f6d6c63a19fe3,1.7035625
39136,106393,GRZL-r4xX9E_30000,4.189,5.269,/m/012f08,1.08,0x7a230a12e94181f0,entrenamiento,0x7a230a12e94181f0,1.082125
39258,106799,Qe_F2S6IpN4_7000,0.0,9.606,/m/012f08,9.606,-0x7e5b2c2a08a5b288,entrenamiento,-0x7e5b2c2a08a5b288,9.6255
39404,107349,HIir3w6xu84_30000,0.0,10.0,/m/012f08,10.0,-0x4f8f61e36d8eae3,entrenamiento,-0x4f8f61e36d8eae3,10.008
39418,107411,4_trZztBlEs_10000,4.727,9.232,/m/012f08,4.504999999999999,-0x40f54b43dd17e2a0,entrenamiento,-0x40f54b43dd17e2a0,4.522375
39382,107274,BHKlvDEechU_20000,1.165,5.472,/m/012f08,4.307,-0x2e5ec8683d5334c2,entrenamiento,-0x2e5ec8683d5334c2,5.4535
38923,105708,F-dFE89ZaXA_140000,4.599,9.604,/m/012f08,5.004999999999999,-0x7e7e6d080934e908,entrenamiento,-0x7e7e6d080934e908,5.0135
39232,106717,F23ZBgY1M_A_0,0.0,10.0,/m/012f08,10.0,-0x72eef50b529ec959,entrenamiento,-0x72eef50b529ec959,10.0078125
39409,107359,BUfzDUbMVpQ_20000,5.363,8.693,/m/012f08,3.329999999999999,0x3debfc4b4064b24d,entrenamiento,0x3debfc4b4064b24d,3.3335
39365,107191,4PwXN4ugDE4_30000,3.022,10.0,/m/012f08,6.978,-0x4d9009fe42da7953,entrenamiento,-0x4d9009fe42da7953,9.9735
39013,106009,2jfRDEorGgQ_30000,1.173,10.0,/m/012f08,8.827,-0x513b8c0c29cdf2c7,entrenamiento,-0x513b8c0c29cdf2c7,9.9735
39012,105995,NfMlW-jVGBk_380000,0.0,10.0,/m/012f08,10.0,-0x12e70a02acfe282d,entrenamiento,-0x12e70a02acfe282d,10.002375
