Time,lat,lon,speed,LA,LZ,speed_range,LA_corrected,correction
2024-05-23 16:38:26,43.3095138333,-1.8822006667,0.986,60.09341121760599,74.92961196625292,"(-0.0244, 7.599]",79.84585034756743,-2.644294510142359
2024-05-23 16:38:27,43.3095121667,-1.8821975,1.155,61.00310534266448,75.00284819844184,"(-0.0244, 7.599]",79.8405956252816,-2.6495492324281997
2024-05-23 16:38:28,43.3095095,-1.8821938333,1.716,63.03155297259458,76.83463410903147,"(-0.0244, 7.599]",79.57937226687235,-2.910772590837439
2024-05-23 16:38:29,43.3094993333,-1.8821828333,2.619,63.09483960018653,77.53994385284456,"(-0.0244, 7.599]",77.19740593381322,-5.292738923896579
2024-05-23 16:38:30,43.3094928333,-1.8821793333,2.251,63.51649038012886,77.69886927460648,"(-0.0244, 7.599]",78.49478597157068,-3.9953588861391154
2024-05-23 16:38:32,43.3094865,-1.8821768333,2.655,63.90308333874231,78.82079114836421,"(-0.0244, 7.599]",77.92669252308237,-4.563452334627428
2024-05-23 16:38:33,43.3094786667,-1.8821753333,3.373,64.63222483378001,79.92399201154439,"(-0.0244, 7.599]",77.27150248324536,-5.218642374464437
2024-05-23 16:38:34,43.309473,-1.8821778333,2.558,65.17550173680483,79.31957341461478,"(-0.0244, 7.599]",79.41436752228373,-3.075777335426068
2024-05-23 16:38:35,43.3094635,-1.8821816667,4.16,66.76434990262956,80.69505677219318,"(-0.0244, 7.599]",78.19075072407755,-4.299394133632248
2024-05-23 16:38:36,43.3094536667,-1.8821876667,4.692,67.17962627680127,80.21561418150283,"(-0.0244, 7.599]",77.91001583377049,-4.580129023939307
2024-05-23 16:38:38,43.309431,-1.8822013333,5.664,69.29576663353134,83.59722339597394,"(-0.0244, 7.599]",78.93728437943685,-3.5528604782729474
2024-05-23 16:38:39,43.3094196667,-1.8822113333,5.546,71.80177102227125,88.24331735338227,"(-0.0244, 7.599]",81.56505160993157,-0.9250932477782214
2024-05-23 16:38:40,43.309414,-1.8822281667,5.746,73.84276284899359,90.87692798946611,"(-0.0244, 7.599]",83.40115054821514,0.9110056905053483
2024-05-23 16:38:41,43.3094056667,-1.8822488333,7.52,72.81686425979483,89.56641853151643,"(-0.0244, 7.599]",80.81912510936101,-1.6710197483487832
2024-05-23 16:38:42,43.3094,-1.8822765,11.981,72.47344066334699,83.9261785936067,"(7.599, 15.192]",77.78199218059257,-4.708152677117226
2024-05-23 16:38:44,43.3093928333,-1.882361,14.463,78.03882626767684,89.70783335525095,"(7.599, 15.192]",82.25850495113755,-0.23163990657224076
2024-05-23 16:38:45,43.3093883333,-1.8824141667,16.133,77.76232094971334,89.4462776184541,"(15.192, 22.784]",81.35001574947206,-1.1401291082377298
2024-05-23 16:38:46,43.3093865,-1.8824621667,13.744,76.58719104048167,88.37598010479466,"(7.599, 15.192]",81.10177898991282,-1.3883658677969777
2024-05-23 16:38:47,43.3093846667,-1.8825096667,13.997,74.97772045536202,87.26086707600282,"(7.599, 15.192]",79.38681318298751,-3.103331674722284
2024-05-23 16:38:48,43.3093796667,-1.882552,8.606,71.09467854550536,84.74669232704089,"(7.599, 15.192]",78.31677997726791,-4.173364880441881
2024-05-23 16:38:49,43.309379,-1.8826043333,4.789,66.90629605649819,81.25297895968104,"(-0.0244, 7.599]",77.51833920551762,-4.971805652192174
2024-05-23 16:38:51,43.3093846667,-1.8826171667,4.456,66.80798979244324,79.7665951815863,"(-0.0244, 7.599]",77.83685201244447,-4.653292845265327
2024-05-23 16:38:52,43.3093805,-1.8826368333,5.377,73.00607622009505,85.18211232506418,"(-0.0244, 7.599]",82.94833568026667,0.4581908225568725
2024-05-23 16:38:53,43.309382,-1.8826653333,9.655,77.01767590091745,88.14116784883868,"(7.599, 15.192]",83.57457821231243,1.0844333546026377
2024-05-23 16:38:54,43.3093791667,-1.8827061667,12.419,79.54372975429416,89.76343263486093,"(7.599, 15.192]",84.64462106677132,2.154476209061528
2024-05-23 16:38:55,43.3093906667,-1.8827541667,15.136,80.11882484819662,88.74747127543516,"(7.599, 15.192]",84.075455399326,1.5853105416162094
2024-05-23 16:38:56,43.3094341667,-1.8828573333,20.05,81.76988050558869,89.61413382175792,"(15.192, 22.784]",84.10045585830751,1.6103110005977186
